gloss_sequence,vietnamese_sentence
buoi_sang ban se di benh_vien,Buổi sáng bạn sẽ đi bệnh viện.
thu_hai bo bi met,Thứ hai bố bị mệt.
ong can bon nuoc,Ông cần bốn nước.
toi_nay ong dang hoc_bai,Tối nay ông đang học bài.
thu_ba thay_giao bi dau_hong,Thứ ba thầy giáo bị đau họng.
thang ong ngu,Tháng ông ngủ.
me muon mot_tram bun,Mẹ muốn một trăm bún.
hom_nay ong dang rua_tay,Hôm nay ông đang rửa tay.
hom_qua me se di truong,Hôm qua mẹ sẽ đi trường.
tivi mau_trang,Ti vi màu trắng.
hom_qua toi bi di_ung,Hôm qua tôi bị dị ứng.
me muon ba vo,Mẹ muốn ba vở.
ong dang choi,Ông đang chơi.
em dang hoc_bai,Em đang học bài.
bay_gio anh an,Bây giờ anh ăn.
ban muon muoi ban_phim,Bạn muốn mười bàn phím.
ngay con_trai bi dau_chan,Ngày con trai bị đau chân.
ban muon ca,Bạn muốn cá.
thu_ba em bi cam_lanh,Thứ ba em bị cảm lạnh.
bay_gio chi dang choi,Bây giờ chị đang chơi.
thu_bay chung_toi bi dau_dau,Thứ bảy chúng tôi bị đau đầu.
em di nha_bep,Em đi nhà bếp.
thu_nam anh nghi,Thứ năm anh nghỉ.
bay_gio me bi ho,Bây giờ mẹ bị ho.
chung_toi muon ba_lo,Chúng tôi muốn ba lô.
me dang nghe,Mẹ đang nghe.
chi thich di_benh_vien,Chị thích đi bệnh viện.
toi bi dau_tay nen can com,Tôi bị đau tay nên cần cơm.
thu_nam con_gai dang nghi,Thứ năm con gái đang nghỉ.
anh can ca,Anh cần cá.
toi_nay thay_giao dang hoc_bai,Tối nay thầy giáo đang học bài.
benh_nhan can giay khong,Bệnh nhân có cần giày không?
chi muon ao_khoac,Chị muốn áo khoác.
anh khong muon quan,Anh không muốn quần.
ngay ban dang lam_viec,Ngày bạn đang làm việc.
me bi dau_lung can goi_bac_si,"Mẹ bị đau lưng, cần gọi bác sĩ."
hom_qua ong dang chay,Hôm qua ông đang chạy.
thu_tu em dang viet,Thứ tư em đang viết.
thu_hai me xem,Thứ hai mẹ xem.
thu_ba thay_giao dang xem,Thứ ba thầy giáo đang xem.
ngay con_trai bi bi_thuong,Ngày con trai bị bị thương.
thu_sau em xem,Thứ sáu em xem.
thu_sau co dang nau_an,Thứ sáu cô đang nấu ăn.
ong can cua,Ông cần cửa.
ba can kinh_lup,Bà cần kính lúp.
thang chung_toi dang an,Tháng chúng tôi đang ăn.
hom_nay bao,Hôm nay bão.
ba_lo mau_xanh,Ba lô màu xanh.
thu_sau co_giao dang noi,Thứ sáu cô giáo đang nói.
thang chi bi ho,Tháng chị bị ho.
bo buon tai_sao,Tại sao bố buồn?
toi_nay anh bi dau_dau,Tối nay anh bị đau đầu.
ngay chung_toi dang tam,Ngày chúng tôi đang tắm.
ngay_mai anh dang nau_an,Ngày mai anh đang nấu ăn.
me can hai nuoc_cam,Mẹ cần hai nước cam.
mua_dong co_giao dang giat_do,Mùa đông cô giáo đang giặt đồ.
ban muon mot nuoc_cam,Bạn muốn một nước cam.
toi_nay toi se di nha_thuoc,Tối nay tôi sẽ đi nhà thuốc.
buoi_chieu benh_nhan bi di_ung,Buổi chiều bệnh nhân bị dị ứng.
thu_hai bo di_hoc,Thứ hai bố đi học.
nam em xem,Năm em xem.
ngay_mai ban se di nha,Ngày mai bạn sẽ đi nhà.
thu_ba ba bi bi_thuong,Thứ ba bà bị bị thương.
buoi_trua ong bi ho,Buổi trưa ông bị ho.
me can ban_do,Mẹ cần bản đồ.
nam con_gai dang lam_bai_tap,Năm con gái đang làm bài tập.
ong muon di phong,Ông muốn đi phòng.
nguoi_khiem_thinh can banh_mi,Người khiếm thính cần bánh mì.
me muon tra o sieu_thi,Mẹ muốn trà ở siêu thị.
nam me bi sot,Năm mẹ bị sốt.
me muon den cong_vien,Mẹ muốn đến công viên.
hom_nay toi ngu,Hôm nay tôi ngủ.
sach thom,Sách thơm.
toi la y_ta,Tôi là y tá.
toi thich xe_cuu_thuong,Tôi thích xe cứu thương.
toi can tra khong,Tôi có cần trà không?
buoi_trua con_trai dang doc_sach,Buổi trưa con trai đang đọc sách.
anh muon nuoc_cam,Anh muốn nước cam.
may_tinh mau_gi,Máy tính màu gì?
toi muon muoi nuoc_cam,Tôi muốn mười nước cam.
co cam_thay cam_lanh,Cô cảm thấy cảm lạnh.
ngay con_gai dang nghi,Ngày con gái đang nghỉ.
chi can muoi pho,Chị cần mười phở.
chi can ghe khong,Chị có cần ghế không?
bo muon mot sua,Bố muốn một sữa.
anh can nghi_ngoi,Anh cần nghỉ ngơi.
ong can mot but,Ông cần một bút.
buoi_sang nguoi_khiem_thinh dang choi,Buổi sáng người khiếm thính đang chơi.
toi_nay toi bi sot,Tối nay tôi bị sốt.
me o phong_kham,Mẹ ở phòng khám.
thu_sau bo ngu,Thứ sáu bố ngủ.
buoi_trua con_trai dang chay,Buổi trưa con trai đang chạy.
em muon den van_phong,Em muốn đến văn phòng.
toi mat vo,Tôi mất vở.
hom_nay chi se di nha_thuoc,Hôm nay chị sẽ đi nhà thuốc.
co_giao o phong,Cô giáo ở phòng.
toi bi dau_hong,Tôi bị đau họng.
em muon thit o nha,Em muốn thịt ở nhà.
ban thich sach,Bạn thích sách.
thu_nam chi dang giat_do,Thứ năm chị đang giặt đồ.
nam em bi dau,Năm em bị đau.
toi_nay con_trai bi dau,Tối nay con trai bị đau.
em tim may_tinh,Em tìm máy tính.
thu_ba con_gai dang di_bo,Thứ ba con gái đang đi bộ.
nam chi bi chay_mau,Năm chị bị chảy máu.
chi can bao_nhieu ban,Chị cần bao nhiêu bàn?
bay_gio con_trai dang di_bo,Bây giờ con trai đang đi bộ.
buoi_sang co dang noi,Buổi sáng cô đang nói.
hom_nay co bi sot,Hôm nay cô bị sốt.
ba can kinh_lup khong,Bà có cần kính lúp không?
thu_sau thay_giao dang doc_sach,Thứ sáu thầy giáo đang đọc sách.
thang con_trai dang rua_tay,Tháng con trai đang rửa tay.
thang ban lam_viec,Tháng bạn làm việc.
bay_gio con_trai bi dau_bung,Bây giờ con trai bị đau bụng.
thu_sau ba dang xem,Thứ sáu bà đang xem.
thu_nam co_giao bi dau_dau,Thứ năm cô giáo bị đau đầu.
ban khong muon kinh,Bạn không muốn kính.
mua_he chi dang nghi,Mùa hè chị đang nghỉ.
toi_nay chi dang lam_viec,Tối nay chị đang làm việc.
thu_tu troi_nang,Thứ tư trời nắng.
buoi_sang ban se di phong_kham,Buổi sáng bạn sẽ đi phòng khám.
lam_on lay nuoc giup toi,Làm ơn lấy nước giúp tôi.
buoi_toi troi_nong khong,Buổi tối có nóng không?
me muon hai_muoi nuoc,Mẹ muốn hai mươi nước.
buoi_chieu ba bi dau_hong,Buổi chiều bà bị đau họng.
thang benh_nhan bi cam_lanh,Tháng bệnh nhân bị cảm lạnh.
chung_toi o cho,Chúng tôi ở chợ.
con_trai bi dau_chan nen can goi_bac_si,Con trai bị đau chân nên cần gọi bác sĩ.
thu_bay toi bi chay_mau,Thứ bảy tôi bị chảy máu.
thu_hai chi noi,Thứ hai chị nói.
ban can sau sua,Bạn cần sáu sữa.
bo can hai banh_mi,Bố cần hai bánh mì.
toi muon chin banh_mi,Tôi muốn chín bánh mì.
mua_he toi bi cam_lanh,Mùa hè tôi bị cảm lạnh.
mua_dong co_giao bi chay_mau,Mùa đông cô giáo bị chảy máu.
hom_qua chung_toi bi cam_lanh,Hôm qua chúng tôi bị cảm lạnh.
chu_nhat bo bi sot,Chủ nhật bố bị sốt.
buoi_trua me bi chay_mau,Buổi trưa mẹ bị chảy máu.
bo muon hai tivi,Bố muốn hai ti vi.
chung_toi o lop_hoc,Chúng tôi ở lớp học.
buoi_trua toi se di cho,Buổi trưa tôi sẽ đi chợ.
buoi_trua chung_toi bi dau,Buổi trưa chúng tôi bị đau.
buoi_sang chi dang hoc_bai,Buổi sáng chị đang học bài.
thu_tu thay_giao bi dau,Thứ tư thầy giáo bị đau.
mua_dong me dang giat_do,Mùa đông mẹ đang giặt đồ.
bo can chin may_tinh,Bố cần chín máy tính.
thu_bay anh dang di_hoc,Thứ bảy anh đang đi học.
thu_tu chi di_hoc,Thứ tư chị đi học.
mua_dong me dang xem,Mùa đông mẹ đang xem.
thu_sau benh_nhan bi dau_hong,Thứ sáu bệnh nhân bị đau họng.
chi cam_thay bao,Chị cảm thấy bão.
con_trai muon khau_trang,Con trai muốn khẩu trang.
em muon ba vo,Em muốn ba vở.
nguoi_khiem_thinh can ca,Người khiếm thính cần cá.
ban muon mua chao,Bạn muốn mua cháo.
ngay_mai ban nghe,Ngày mai bạn nghe.
ba khong muon ao,Bà không muốn áo.
chi dang lam_viec,Chị đang làm việc.
chi mat dien_thoai,Chị mất điện thoại.
dien_thoai o_dau,Điện thoại ở đâu?
me can hai dien_thoai,Mẹ cần hai điện thoại.
thu_nam thay_giao bi dau,Thứ năm thầy giáo bị đau.
ong muon tam dien_thoai,Ông muốn tám điện thoại.
ba dang uong,Bà đang uống.
thu_hai toi dang nau_an,Thứ hai tôi đang nấu ăn.
thu_ba troi_nang,Thứ ba trời nắng.
hom_qua ban dang lam_viec,Hôm qua bạn đang làm việc.
buoi_toi ong dang doc_sach,Buổi tối ông đang đọc sách.
ba thich ban_do,Bà thích bản đồ.
hom_qua co nghi,Hôm qua cô nghỉ.
co thich xe_cuu_thuong,Cô thích xe cứu thương.
toi dang xem,Tôi đang xem.
thu_sau co nghi,Thứ sáu cô nghỉ.
con_trai den ben_xe,Con trai đến bến xe.
me can banh khong,Mẹ có cần bánh không?
y_ta cam_thay tuc_gian,Y tá cảm thấy tức giận.
ong muon sau dien_thoai,Ông muốn sáu điện thoại.
bo muon but,Bố muốn bút.
buoi_sang ba dang nau_an,Buổi sáng bà đang nấu ăn.
ngay thay_giao dang lam_viec,Ngày thầy giáo đang làm việc.
co den cong_ty,Cô đến công ty.
ngay chung_toi dang di_bo,Ngày chúng tôi đang đi bộ.
thu_hai anh bi chong_mat,Thứ hai anh bị chóng mặt.
mua_dong toi dang nghi,Mùa đông tôi đang nghỉ.
buoi_toi con_gai dang di_bo,Buổi tối con gái đang đi bộ.
toi can keo khong,Tôi có cần kẹo không?
ngay_mai con_trai dang choi,Ngày mai con trai đang chơi.
nam chung_toi bi kho_tho,Năm chúng tôi bị khó thở.
toi can giay khong,Tôi có cần giấy không?
ngay_mai con_trai dang lam_viec,Ngày mai con trai đang làm việc.
ba can ca_phe khong,Bà có cần cà phê không?
ong muon pho o nha,Ông muốn phở ở nhà.
thu_ba toi bi dau,Thứ ba tôi bị đau.
buoi_trua me hoc_bai,Buổi trưa mẹ học bài.
buoi_chieu chung_toi dang nau_an,Buổi chiều chúng tôi đang nấu ăn.
mua_dong con_trai dang doc_sach,Mùa đông con trai đang đọc sách.
thu_nam nguoi_khiem_thinh bi dau_hong,Thứ năm người khiếm thính bị đau họng.
bay_gio em dang chay,Bây giờ em đang chạy.
bo muon banh_mi,Bố muốn bánh mì.
ban_phim o_dau,Bàn phím ở đâu?
thu_hai toi bi dau_dau,Thứ hai tôi bị đau đầu.
co dang uong,Cô đang uống.
nguoi_khiem_thinh thich com,Người khiếm thính thích cơm.
thang em doc_sach,Tháng em đọc sách.
con_trai thich giay,Con trai thích giấy.
buoi_trua con_gai dang di_bo,Buổi trưa con gái đang đi bộ.
me can mot_tram nuoc,Mẹ cần một trăm nước.
nguoi_than can quan,Người thân cần quần.
bo can ban_phim,Bố cần bàn phím.
buoi_trua toi bi ho,Buổi trưa tôi bị ho.
chi khong nghi,Chị không nghỉ.
co can sac_pin khong,Cô có cần sạc pin không?
em can tam but,Em cần tám bút.
thu_sau anh bi dau_lung,Thứ sáu anh bị đau lưng.
hom_qua nguoi_khiem_thinh bi dau_tay,Hôm qua người khiếm thính bị đau tay.
buoi_chieu em bi chong_mat,Buổi chiều em bị chóng mặt.
chu_nhat con_trai bi dau_tay,Chủ nhật con trai bị đau tay.
thu_tu toi bi dau_dau,Thứ tư tôi bị đau đầu.
co_giao can giup_do khong,Cô giáo có cần giúp đỡ không?
ba den ban,Bà đến bàn.
me muon ca_phe o nha_thuoc,Mẹ muốn cà phê ở nhà thuốc.
toi muon ba_muoi sua,Tôi muốn ba mươi sữa.
anh can bon den,Anh cần bốn đèn.
em di cho,Em đi chợ.
bo thich goi_bac_si,Bố thích gọi bác sĩ.
nguoi_khiem_thinh thich giup_do,Người khiếm thính thích giúp đỡ.
nam anh dang di_cho,Năm anh đang đi chợ.
chu_nhat toi ngu,Chủ nhật tôi ngủ.
bo can ba but,Bố cần ba bút.
chi muon com o sieu_thi,Chị muốn cơm ở siêu thị.
ngay_mai anh bi buon_non,Ngày mai anh bị buồn nôn.
chung_toi muon nuoc,Chúng tôi muốn nước.
hom_qua ba dang choi,Hôm qua bà đang chơi.
toi_nay co_giao ngu,Tối nay cô giáo ngủ.
me can quan khong,Mẹ có cần quần không?
chi can ba may_tinh,Chị cần ba máy tính.
thu_tu chung_toi dang nau_an,Thứ tư chúng tôi đang nấu ăn.
thu_hai thay_giao dang tap_the_duc,Thứ hai thầy giáo đang tập thể dục.
buoi_sang chung_toi bi met,Buổi sáng chúng tôi bị mệt.
ban muon nam nuoc,Bạn muốn năm nước.
mua_he ban bi sot,Mùa hè bạn bị sốt.
thu_tu chi dang xem,Thứ tư chị đang xem.
con_trai thich giup_do,Con trai thích giúp đỡ.
chu_nhat thay_giao an,Chủ nhật thầy giáo ăn.
con_trai muon nuoc_cam,Con trai muốn nước cam.
thu_hai co viet,Thứ hai cô viết.
thu_sau anh hoc_bai,Thứ sáu anh học bài.
me muon may_tinh,Mẹ muốn máy tính.
hom_qua me se di phong_kham,Hôm qua mẹ sẽ đi phòng khám.
toi_nay bo bi di_ung,Tối nay bố bị dị ứng.
chi muon mua quan,Chị muốn mua quần.
thu_hai con_trai bi buon_non,Thứ hai con trai bị buồn nôn.
mu ban,Mũ bẩn.
may_tinh o_dau,Máy tính ở đâu?
buoi_chieu thay_giao bi chay_mau,Buổi chiều thầy giáo bị chảy máu.
anh can hai_muoi pho,Anh cần hai mươi phở.
em can hai_muoi banh_mi,Em cần hai mươi bánh mì.
co muon di san_bay,Cô muốn đi sân bay.
buoi_chieu bo dang lam_bai_tap,Buổi chiều bố đang làm bài tập.
toi_nay co nghe,Tối nay cô nghe.
buoi_chieu anh dang tam,Buổi chiều anh đang tắm.
buoi_sang ban ngu,Buổi sáng bạn ngủ.
hom_qua nguoi_khiem_thinh bi ho,Hôm qua người khiếm thính bị ho.
bay_gio con_trai bi bi_thuong,Bây giờ con trai bị bị thương.
mua_he ong doc_sach,Mùa hè ông đọc sách.
bo bi dau_bung nen can goi_bac_si,Bố bị đau bụng nên cần gọi bác sĩ.
buoi_toi nguoi_khiem_thinh dang xem,Buổi tối người khiếm thính đang xem.
thu_hai bao khong,Thứ hai có bão không?
thang me dang choi,Tháng mẹ đang chơi.
em can ba_muoi ban_phim,Em cần ba mươi bàn phím.
ghe mau_hong,Ghế màu hồng.
thu_hai em lam_bai_tap,Thứ hai em làm bài tập.
buoi_sang con_gai bi sot,Buổi sáng con gái bị sốt.
toi la sinh_vien,Tôi là sinh viên.
em thich mu,Em thích mũ.
ban muon tra o sieu_thi,Bạn muốn trà ở siêu thị.
thu_tu bo dang mua_sam,Thứ tư bố đang mua sắm.
me muon sau nuoc_cam,Mẹ muốn sáu nước cam.
toi_nay ong dang noi,Tối nay ông đang nói.
vo mau_trang,Vở màu trắng.
thu_tu thay_giao dang choi,Thứ tư thầy giáo đang chơi.
thu_tu ban bi buon_non,Thứ tư bạn bị buồn nôn.
buoi_toi chi bi bi_thuong,Buổi tối chị bị bị thương.
ong muon hai chao,Ông muốn hai cháo.
ngay ba bi sot,Ngày bà bị sốt.
me bi dau_tay nen can nghi_ngoi,Mẹ bị đau tay nên cần nghỉ ngơi.
anh bi dau_tay nen can com,Anh bị đau tay nên cần cơm.
toi_nay me noi,Tối nay mẹ nói.
mua_he toi doc_sach,Mùa hè tôi đọc sách.
hom_nay ong dang lam_viec,Hôm nay ông đang làm việc.
buoi_toi con_gai bi dau_bung,Buổi tối con gái bị đau bụng.
mua_dong con_gai dang viet,Mùa đông con gái đang viết.
cua uot,Cửa ướt.
ong muon pho o nha_thuoc,Ông muốn phở ở nhà thuốc.
anh can hai sua,Anh cần hai sữa.
toi muon di_nha_ve_sinh,Tôi muốn đi nhà vệ sinh.
anh muon nam nuoc,Anh muốn năm nước.
con_trai muon nuoc,Con trai muốn nước.
thu_tu ong bi chay_mau,Thứ tư ông bị chảy máu.
bo can bay dien_thoai,Bố cần bảy điện thoại.
bay_gio con_trai dang nau_an,Bây giờ con trai đang nấu ăn.
thu_tu nguoi_khiem_thinh dang giat_do,Thứ tư người khiếm thính đang giặt đồ.
me o phong_ngu,Mẹ ở phòng ngủ.
thang chung_toi bi buon_non,Tháng chúng tôi bị buồn nôn.
bo can hai com,Bố cần hai cơm.
ban se noi,Bạn sẽ nói.
buoi_chieu gio_manh khong,Buổi chiều có gió mạnh không?
nam chung_toi bi bi_thuong,Năm chúng tôi bị bị thương.
thu_ba toi bi buon_non,Thứ ba tôi bị buồn nôn.
nam con_trai dang choi,Năm con trai đang chơi.
thu_sau con_trai dang lam_viec,Thứ sáu con trai đang làm việc.
ba thich mu,Bà thích mũ.
thu_sau toi dang tam,Thứ sáu tôi đang tắm.
em can sau com,Em cần sáu cơm.
em muon mua kinh_lup,Em muốn mua kính lúp.
hom_qua nguoi_khiem_thinh dang rua_tay,Hôm qua người khiếm thính đang rửa tay.
nam toi viet,Năm tôi viết.
em can giup_do khong,Em có cần giúp đỡ không?
em dang uong,Em đang uống.
toi bi dau_hong nen can goi_y_ta,Tôi bị đau họng nên cần gọi y tá.
ngay me dang di_cho,Ngày mẹ đang đi chợ.
chi mat sach,Chị mất sách.
bay_gio em dang choi,Bây giờ em đang chơi.
chi can ba banh_mi,Chị cần ba bánh mì.
thu_hai co bi dau_chan,Thứ hai cô bị đau chân.
anh can nuoc,Anh cần nước.
chi muon mua nuoc_cam,Chị muốn mua nước cam.
mua_dong ban dang uong,Mùa đông bạn đang uống.
mua_he ong dang mua_sam,Mùa hè ông đang mua sắm.
ban o nha_bep,Bạn ở nhà bếp.
hom_qua bo dang di_cho,Hôm qua bố đang đi chợ.
thu_ba co dang di_cho,Thứ ba cô đang đi chợ.
ban khong an,Bạn không ăn.
chi bi dau_chan nen can di_benh_vien,Chị bị đau chân nên cần đi bệnh viện.
thu_hai toi hoc_bai,Thứ hai tôi học bài.
ngay_mai anh dang mua_sam,Ngày mai anh đang mua sắm.
thang nguoi_khiem_thinh bi dau_dau,Tháng người khiếm thính bị đau đầu.
ong bi dau_dau,Ông bị đau đầu.
hom_nay co bi dau_tay,Hôm nay cô bị đau tay.
thang me dang doc_sach,Tháng mẹ đang đọc sách.
mua_dong nguoi_khiem_thinh dang giat_do,Mùa đông người khiếm thính đang giặt đồ.
buoi_sang nguoi_khiem_thinh dang doc_sach,Buổi sáng người khiếm thính đang đọc sách.
toi_nay bo dang chay,Tối nay bố đang chạy.
ngay_mai chung_toi dang hoc_bai,Ngày mai chúng tôi đang học bài.
toi_nay benh_nhan dang doc_sach,Tối nay bệnh nhân đang đọc sách.
chung_toi can di_nha_ve_sinh,Chúng tôi cần đi nhà vệ sinh.
thu_tu chung_toi dang lam_viec,Thứ tư chúng tôi đang làm việc.
toi can hai com,Tôi cần hai cơm.
buoi_toi bo bi dau_dau,Buổi tối bố bị đau đầu.
ban can rau khong,Bạn có cần rau không?
ban can bon nuoc,Bạn cần bốn nước.
ban can hai_muoi ban_phim,Bạn cần hai mươi bàn phím.
toi muon den nha_ga,Tôi muốn đến nhà ga.
bo cam_thay so,Bố cảm thấy sợ.
em la nghe_nghiep,Em là nghề nghiệp.
hom_qua co_giao lam_viec,Hôm qua cô giáo làm việc.
thu_bay me dang doc_sach,Thứ bảy mẹ đang đọc sách.
con_trai can ba_lo khong,Con trai có cần ba lô không?
ngay_mai con_trai dang nghe,Ngày mai con trai đang nghe.
buoi_chieu co dang doc_sach,Buổi chiều cô đang đọc sách.
thu_tu co bi sot,Thứ tư cô bị sốt.
me muon hai_muoi den,Mẹ muốn hai mươi đèn.
mua_dong ban bi dau_hong,Mùa đông bạn bị đau họng.
thu_ba thay_giao dang di_bo,Thứ ba thầy giáo đang đi bộ.
toi muon thit o phong_kham,Tôi muốn thịt ở phòng khám.
chung_toi muon noi_com_dien,Chúng tôi muốn nồi cơm điện.
con_trai muon giay,Con trai muốn giấy.
toi_nay ba an,Tối nay bà ăn.
toi_nay anh se di nha,Tối nay anh sẽ đi nhà.
thu_hai benh_nhan dang rua_tay,Thứ hai bệnh nhân đang rửa tay.
chu_nhat ong dang tam,Chủ nhật ông đang tắm.
em di xe_may,Em đi xe máy.
ngay_mai me hoc_bai,Ngày mai mẹ học bài.
hom_qua co bi dau_lung,Hôm qua cô bị đau lưng.
ngay me dang noi,Ngày mẹ đang nói.
thu_ba co dang nau_an,Thứ ba cô đang nấu ăn.
nam em dang hoc_bai,Năm em đang học bài.
me can sac_pin khong,Mẹ có cần sạc pin không?
thu_nam nguoi_khiem_thinh bi kho_tho,Thứ năm người khiếm thính bị khó thở.
benh_nhan o nha_bep,Bệnh nhân ở nhà bếp.
nam toi dang lam_viec,Năm tôi đang làm việc.
vo ban,Vở bẩn.
ngay_mai con_gai bi dau_hong,Ngày mai con gái bị đau họng.
bay_gio chi bi ho,Bây giờ chị bị ho.
buoi_toi nguoi_khiem_thinh bi chay_mau,Buổi tối người khiếm thính bị chảy máu.
bo can nam banh_mi,Bố cần năm bánh mì.
me can muoi may_tinh,Mẹ cần mười máy tính.
thang ba bi dau,Tháng bà bị đau.
toi bi dau_bung nen can goi_bac_si,Tôi bị đau bụng nên cần gọi bác sĩ.
nam bo bi dau_tay,Năm bố bị đau tay.
me thich nuoc_cam,Mẹ thích nước cam.
buoi_chieu kho_rao,Buổi chiều khô ráo.
thu_tu em dang choi,Thứ tư em đang chơi.
ba can keo,Bà cần kẹo.
hom_qua ban bi dau,Hôm qua bạn bị đau.
mua_he co dang nau_an,Mùa hè cô đang nấu ăn.
bo can chin but,Bố cần chín bút.
thu_tu benh_nhan bi cam_lanh,Thứ tư bệnh nhân bị cảm lạnh.
ghe mau_trang,Ghế màu trắng.
vui_long dua com cho toi,Vui lòng đưa cơm cho tôi.
benh_nhan can ban_phim,Bệnh nhân cần bàn phím.
chi muon muoi bun,Chị muốn mười bún.
toi_nay ban nghi,Tối nay bạn nghỉ.
ngay_mai me se di phong_kham,Ngày mai mẹ sẽ đi phòng khám.
ong muon bay sach,Ông muốn bảy sách.
anh muon nuoc_cam o nha_thuoc,Anh muốn nước cam ở nhà thuốc.
bo muon nam nuoc_cam,Bố muốn năm nước cam.
chu_nhat ong dang doc_sach,Chủ nhật ông đang đọc sách.
lam_on goi giuong giup toi,Làm ơn gọi giường giúp tôi.
thu_nam bo dang di_hoc,Thứ năm bố đang đi học.
thang co_giao dang choi,Tháng cô giáo đang chơi.
ban muon trai_cay,Bạn muốn trái cây.
bo bi dau_tay nen can di_benh_vien,Bố bị đau tay nên cần đi bệnh viện.
ban can mot but,Bạn cần một bút.
buoi_trua thay_giao bi kho_tho,Buổi trưa thầy giáo bị khó thở.
bo muon den cong_vien,Bố muốn đến công viên.
thu_sau ba viet,Thứ sáu bà viết.
thay_giao can mu,Thầy giáo cần mũ.
em se rua_tay,Em sẽ rửa tay.
me can mot ban_phim,Mẹ cần một bàn phím.
nam chung_toi bi ho,Năm chúng tôi bị ho.
ban can rau,Bạn cần rau.
bo muon chin nuoc_cam,Bố muốn chín nước cam.
hom_nay em noi,Hôm nay em nói.
con_trai can xe_cuu_thuong khong,Con trai có cần xe cứu thương không?
chi muon sau vo,Chị muốn sáu vở.
bo can tra khong,Bố có cần trà không?
thu_bay em bi dau_lung,Thứ bảy em bị đau lưng.
thu_ba co_giao di_hoc,Thứ ba cô giáo đi học.
buoi_trua ong se di cong_ty,Buổi trưa ông sẽ đi công ty.
toi_nay toi dang viet,Tối nay tôi đang viết.
bo can bon but,Bố cần bốn bút.
chu_nhat chung_toi bi dau_hong,Chủ nhật chúng tôi bị đau họng.
em khong_thich trai_cay,Em không thích trái cây.
mua_dong co_giao dang hoc_bai,Mùa đông cô giáo đang học bài.
bo muon bay tivi,Bố muốn bảy ti vi.
chu_nhat anh dang choi,Chủ nhật anh đang chơi.
toi_nay toi se di truong,Tối nay tôi sẽ đi trường.
thu_ba chung_toi bi sot,Thứ ba chúng tôi bị sốt.
buoi_trua co bi chong_mat,Buổi trưa cô bị chóng mặt.
me muon dong_ho,Mẹ muốn đồng hồ.
bo muon nuoc_cam,Bố muốn nước cam.
anh muon ba_muoi sach,Anh muốn ba mươi sách.
buoi_sang chi se di truong,Buổi sáng chị sẽ đi trường.
mua_he benh_nhan bi dau_lung,Mùa hè bệnh nhân bị đau lưng.
buoi_sang co_giao doc_sach,Buổi sáng cô giáo đọc sách.
thu_hai thay_giao bi buon_non,Thứ hai thầy giáo bị buồn nôn.
thu_hai chi bi bi_thuong,Thứ hai chị bị bị thương.
buoi_sang chung_toi dang giat_do,Buổi sáng chúng tôi đang giặt đồ.
nguoi_khiem_thinh bi dau_tay nen can goi_bac_si,Người khiếm thính bị đau tay nên cần gọi bác sĩ.
buoi_toi anh dang noi,Buổi tối anh đang nói.
ngay_mai chi lam_viec,Ngày mai chị làm việc.
chu_nhat benh_nhan bi ho,Chủ nhật bệnh nhân bị ho.
mua_dong bo bi kho_tho,Mùa đông bố bị khó thở.
con_gai thich giay,Con gái thích giày.
anh bi ho nen can nuoc,Anh bị ho nên cần nước.
buoi_toi nguoi_khiem_thinh bi chong_mat,Buổi tối người khiếm thính bị chóng mặt.
bo thich sach,Bố thích sách.
ong da rua_tay,Ông đã rửa tay.
thu_hai chung_toi bi kho_tho,Thứ hai chúng tôi bị khó thở.
ban bi ho,Bạn bị ho.
toi se noi,Tôi sẽ nói.
buoi_trua toi bi kho_tho,Buổi trưa tôi bị khó thở.
thu_ba con_trai bi dau_hong,Thứ ba con trai bị đau họng.
thu_nam ong dang lam_bai_tap,Thứ năm ông đang làm bài tập.
thang co_giao lam_bai_tap,Tháng cô giáo làm bài tập.
hom_qua chung_toi bi ho,Hôm qua chúng tôi bị ho.
thu_sau toi ngu,Thứ sáu tôi ngủ.
ngay_mai em dang lam_viec,Ngày mai em đang làm việc.
thu_tu ban bi bi_thuong,Thứ tư bạn bị bị thương.
mua_dong bo bi ho,Mùa đông bố bị ho.
con_gai thich but,Con gái thích bút.
thu_hai em bi dau_chan,Thứ hai em bị đau chân.
thu_hai chi doc_sach,Thứ hai chị đọc sách.
chi muon sach,Chị muốn sách.
me can pho khong,Mẹ có cần phở không?
thu_nam anh bi met,Thứ năm anh bị mệt.
chi bi dau nen can goi_bac_si,Chị bị đau nên cần gọi bác sĩ.
hom_nay co_giao bi dau_bung,Hôm nay cô giáo bị đau bụng.
hom_nay co_giao viet,Hôm nay cô giáo viết.
bay_gio bo bi bi_thuong,Bây giờ bố bị bị thương.
thu_bay ong bi dau_chan,Thứ bảy ông bị đau chân.
ba bi dau_tay nen can goi_bac_si,Bà bị đau tay nên cần gọi bác sĩ.
chi bi ho nen can goi_bac_si,Chị bị ho nên cần gọi bác sĩ.
co den phong_ngu,Cô đến phòng ngủ.
nam bo dang tam,Năm bố đang tắm.
thu_ba toi bi ho,Thứ ba tôi bị ho.
bo muon mua thit,Bố muốn mua thịt.
anh muon di xe_dap,Anh muốn đi xe đạp.
ban_phim bao_nhieu_tien,Bàn phím bao nhiêu tiền?
ngay_mai toi dang noi,Ngày mai tôi đang nói.
