id,domain,intent,gloss_sequence,vietnamese_sentence,complexity,source,split
2364,complex_schedule,time_go_place,ngay_mai me se di phong_kham,Ngày mai mẹ sẽ đi phòng khám.,complex,synthetic_template_v4,train
2365,quantity,want_quantity,ong muon bay sach,Ông muốn bảy sách.,medium,synthetic_template_v4,train
2366,complex_need,want_food_place,anh muon nuoc_cam o nha_thuoc,Anh muốn nước cam ở nhà thuốc.,complex,synthetic_template_v4,train
2367,quantity,want_quantity,bo muon nam nuoc_cam,Bố muốn năm nước cam.,medium,synthetic_template_v4,train
2368,generated_mix,time_activity,chu_nhat ong dang doc_sach,Chủ nhật ông đang đọc sách.,medium,synthetic_template_v4,train
2369,generated_command,polite,lam_on goi giuong giup toi,Làm ơn gọi giường giúp tôi.,medium,synthetic_template_v4,train
2370,generated_mix,time_activity,thu_nam bo dang di_hoc,Thứ năm bố đang đi học.,medium,synthetic_template_v4,train
2371,generated_mix,time_activity,thang co_giao dang choi,Tháng cô giáo đang chơi.,medium,synthetic_template_v4,train
2372,food_drink,want_food,ban muon trai_cay,Bạn muốn trái cây.,simple,synthetic_template_v4,train
2373,complex_health,symptom_need,bo bi dau_tay nen can di_benh_vien,Bố bị đau tay nên cần đi bệnh viện.,complex,synthetic_template_v4,train
2374,quantity,need_quantity,ban can mot but,Bạn cần một bút.,medium,synthetic_template_v4,train
2375,generated_health,time_symptom,buoi_trua thay_giao bi kho_tho,Buổi trưa thầy giáo bị khó thở.,medium,synthetic_template_v4,train
2376,transport,go_station,bo muon den cong_vien,Bố muốn đến công viên.,simple,synthetic_template_v4,train
2377,time_activity,time_doing,thu_sau ba viet,Thứ sáu bà viết.,medium,synthetic_template_v4,train
2378,generated_mix,want_need_like,thay_giao can mu,Thầy giáo cần mũ.,simple,synthetic_template_v4,train
2379,daily_activity,future_activity,em se rua_tay,Em sẽ rửa tay.,simple,synthetic_template_v4,train
2380,quantity,need_quantity,me can mot ban_phim,Mẹ cần một bàn phím.,medium,synthetic_template_v4,train
2381,generated_health,time_symptom,nam chung_toi bi ho,Năm chúng tôi bị ho.,medium,synthetic_template_v4,train
2382,food_drink,need_food,ban can rau,Bạn cần rau.,simple,synthetic_template_v4,train
2383,quantity,want_quantity,bo muon chin nuoc_cam,Bố muốn chín nước cam.,medium,synthetic_template_v4,train
2384,time_activity,time_doing,hom_nay em noi,Hôm nay em nói.,medium,synthetic_template_v4,train
2385,generated_question,question,con_trai can xe_cuu_thuong khong,Con trai có cần xe cứu thương không?,medium,synthetic_template_v4,train
2386,quantity,want_quantity,chi muon sau vo,Chị muốn sáu vở.,medium,synthetic_template_v4,train
2387,generated_question,question,bo can tra khong,Bố có cần trà không?,medium,synthetic_template_v4,train
2388,generated_health,time_symptom,thu_bay em bi dau_lung,Thứ bảy em bị đau lưng.,medium,synthetic_template_v4,train
2389,time_activity,time_doing,thu_ba co_giao di_hoc,Thứ ba cô giáo đi học.,medium,synthetic_template_v4,train
2390,complex_schedule,time_go_place,buoi_trua ong se di cong_ty,Buổi trưa ông sẽ đi công ty.,complex,synthetic_template_v4,train
2391,generated_mix,time_activity,toi_nay toi dang viet,Tối nay tôi đang viết.,medium,synthetic_template_v4,train
2392,quantity,need_quantity,bo can bon but,Bố cần bốn bút.,medium,synthetic_template_v4,train
2393,generated_health,time_symptom,chu_nhat chung_toi bi dau_hong,Chủ nhật chúng tôi bị đau họng.,medium,synthetic_template_v4,train
2394,food_drink,dislike_food,em khong_thich trai_cay,Em không thích trái cây.,medium,synthetic_template_v4,train
2395,generated_mix,time_activity,mua_dong co_giao dang hoc_bai,Mùa đông cô giáo đang học bài.,medium,synthetic_template_v4,train
2396,quantity,want_quantity,bo muon bay tivi,Bố muốn bảy ti vi.,medium,synthetic_template_v4,train
2397,generated_mix,time_activity,chu_nhat anh dang choi,Chủ nhật anh đang chơi.,medium,synthetic_template_v4,train
2398,complex_schedule,time_go_place,toi_nay toi se di truong,Tối nay tôi sẽ đi trường.,complex,synthetic_template_v4,train
2399,generated_health,time_symptom,thu_ba chung_toi bi sot,Thứ ba chúng tôi bị sốt.,medium,synthetic_template_v4,train
2400,generated_health,time_symptom,buoi_trua co bi chong_mat,Buổi trưa cô bị chóng mặt.,medium,synthetic_template_v4,train
2401,object_action,want_object,me muon dong_ho,Mẹ muốn đồng hồ.,simple,synthetic_template_v4,train
2402,food_drink,want_food,bo muon nuoc_cam,Bố muốn nước cam.,simple,synthetic_template_v4,train
2403,quantity,want_quantity,anh muon ba_muoi sach,Anh muốn ba mươi sách.,medium,synthetic_template_v4,train
2404,complex_schedule,time_go_place,buoi_sang chi se di truong,Buổi sáng chị sẽ đi trường.,complex,synthetic_template_v4,train
2405,generated_health,time_symptom,mua_he benh_nhan bi dau_lung,Mùa hè bệnh nhân bị đau lưng.,medium,synthetic_template_v4,train
2406,time_activity,time_doing,buoi_sang co_giao doc_sach,Buổi sáng cô giáo đọc sách.,medium,synthetic_template_v4,train
2407,generated_health,time_symptom,thu_hai thay_giao bi buon_non,Thứ hai thầy giáo bị buồn nôn.,medium,synthetic_template_v4,train
2408,generated_health,time_symptom,thu_hai chi bi bi_thuong,Thứ hai chị bị bị thương.,medium,synthetic_template_v4,train
2409,generated_mix,time_activity,buoi_sang chung_toi dang giat_do,Buổi sáng chúng tôi đang giặt đồ.,medium,synthetic_template_v4,train
2410,generated_emergency,emergency,nguoi_khiem_thinh bi dau_tay nen can goi_bac_si,Người khiếm thính bị đau tay nên cần gọi bác sĩ.,complex,synthetic_template_v4,train
2411,generated_mix,time_activity,buoi_toi anh dang noi,Buổi tối anh đang nói.,medium,synthetic_template_v4,train
2412,time_activity,time_doing,ngay_mai chi lam_viec,Ngày mai chị làm việc.,medium,synthetic_template_v4,train
2413,generated_health,time_symptom,chu_nhat benh_nhan bi ho,Chủ nhật bệnh nhân bị ho.,medium,synthetic_template_v4,train
2414,generated_health,time_symptom,mua_dong bo bi kho_tho,Mùa đông bố bị khó thở.,medium,synthetic_template_v4,train
2415,generated_mix,want_need_like,con_gai thich giay,Con gái thích giày.,simple,synthetic_template_v4,train
2416,complex_health,symptom_need,anh bi ho nen can nuoc,Anh bị ho nên cần nước.,complex,synthetic_template_v4,train
2417,generated_health,time_symptom,buoi_toi nguoi_khiem_thinh bi chong_mat,Buổi tối người khiếm thính bị chóng mặt.,medium,synthetic_template_v4,train
2418,generated_mix,want_need_like,bo thich sach,Bố thích sách.,simple,synthetic_template_v4,train
2419,confirmation,already_done,ong da rua_tay,Ông đã rửa tay.,simple,synthetic_template_v4,train
2420,generated_health,time_symptom,thu_hai chung_toi bi kho_tho,Thứ hai chúng tôi bị khó thở.,medium,synthetic_template_v4,train
2421,health,symptom,ban bi ho,Bạn bị ho.,simple,synthetic_template_v4,train
2422,daily_activity,future_activity,toi se noi,Tôi sẽ nói.,simple,synthetic_template_v4,train
2423,generated_health,time_symptom,buoi_trua toi bi kho_tho,Buổi trưa tôi bị khó thở.,medium,synthetic_template_v4,train
2424,generated_health,time_symptom,thu_ba con_trai bi dau_hong,Thứ ba con trai bị đau họng.,medium,synthetic_template_v4,train
2425,generated_mix,time_activity,thu_nam ong dang lam_bai_tap,Thứ năm ông đang làm bài tập.,medium,synthetic_template_v4,train
2426,time_activity,time_doing,thang co_giao lam_bai_tap,Tháng cô giáo làm bài tập.,medium,synthetic_template_v4,train
2427,generated_health,time_symptom,hom_qua chung_toi bi ho,Hôm qua chúng tôi bị ho.,medium,synthetic_template_v4,train
2428,time_activity,time_doing,thu_sau toi ngu,Thứ sáu tôi ngủ.,medium,synthetic_template_v4,train
2429,generated_mix,time_activity,ngay_mai em dang lam_viec,Ngày mai em đang làm việc.,medium,synthetic_template_v4,train
2430,generated_health,time_symptom,thu_tu ban bi bi_thuong,Thứ tư bạn bị bị thương.,medium,synthetic_template_v4,train
2431,generated_health,time_symptom,mua_dong bo bi ho,Mùa đông bố bị ho.,medium,synthetic_template_v4,train
2432,generated_mix,want_need_like,con_gai thich but,Con gái thích bút.,simple,synthetic_template_v4,train
2433,generated_health,time_symptom,thu_hai em bi dau_chan,Thứ hai em bị đau chân.,medium,synthetic_template_v4,train
2434,time_activity,time_doing,thu_hai chi doc_sach,Thứ hai chị đọc sách.,medium,synthetic_template_v4,train
2435,object_action,want_object,chi muon sach,Chị muốn sách.,simple,synthetic_template_v4,train
2436,generated_question,question,me can pho khong,Mẹ có cần phở không?,medium,synthetic_template_v4,train
2437,generated_health,time_symptom,thu_nam anh bi met,Thứ năm anh bị mệt.,medium,synthetic_template_v4,train
2438,generated_emergency,emergency,chi bi dau nen can goi_bac_si,Chị bị đau nên cần gọi bác sĩ.,complex,synthetic_template_v4,train
2439,generated_health,time_symptom,hom_nay co_giao bi dau_bung,Hôm nay cô giáo bị đau bụng.,medium,synthetic_template_v4,train
2440,time_activity,time_doing,hom_nay co_giao viet,Hôm nay cô giáo viết.,medium,synthetic_template_v4,train
2441,generated_health,time_symptom,bay_gio bo bi bi_thuong,Bây giờ bố bị bị thương.,medium,synthetic_template_v4,train
2442,generated_health,time_symptom,thu_bay ong bi dau_chan,Thứ bảy ông bị đau chân.,medium,synthetic_template_v4,train
2443,generated_emergency,emergency,ba bi dau_tay nen can goi_bac_si,Bà bị đau tay nên cần gọi bác sĩ.,complex,synthetic_template_v4,train
2444,complex_health,symptom_need,chi bi ho nen can goi_bac_si,Chị bị ho nên cần gọi bác sĩ.,complex,synthetic_template_v4,train
2445,generated_mix,place,co den phong_ngu,Cô đến phòng ngủ.,simple,synthetic_template_v4,train
2446,generated_mix,time_activity,nam bo dang tam,Năm bố đang tắm.,medium,synthetic_template_v4,train
2447,generated_health,time_symptom,thu_ba toi bi ho,Thứ ba tôi bị ho.,medium,synthetic_template_v4,train
2448,shopping,buy,bo muon mua thit,Bố muốn mua thịt.,simple,synthetic_template_v4,train
2449,transport,want_transport,anh muon di xe_dap,Anh muốn đi xe đạp.,simple,synthetic_template_v4,train
2450,shopping,ask_price,ban_phim bao_nhieu_tien,Bàn phím bao nhiêu tiền?,medium,synthetic_template_v4,train
2451,generated_mix,time_activity,ngay_mai toi dang noi,Ngày mai tôi đang nói.,medium,synthetic_template_v4,train
2452,generated_health,time_symptom,thang chi bi dau_chan,Tháng chị bị đau chân.,medium,synthetic_template_v4,train
2453,generated_mix,place,benh_nhan di giuong,Bệnh nhân đi giường.,simple,synthetic_template_v4,train
2454,generated_mix,time_activity,buoi_trua ban dang chay,Buổi trưa bạn đang chạy.,medium,synthetic_template_v4,train
2455,time_activity,time_doing,toi_nay chi hoc_bai,Tối nay chị học bài.,medium,synthetic_template_v4,train
2456,generated_health,time_symptom,buoi_trua em bi dau_hong,Buổi trưa em bị đau họng.,medium,synthetic_template_v4,train
2457,quantity,need_quantity,ong can ba_muoi chao,Ông cần ba mươi cháo.,medium,synthetic_template_v4,train
2458,generated_health,time_symptom,buoi_sang bo bi dau_lung,Buổi sáng bố bị đau lưng.,medium,synthetic_template_v4,train
2459,quantity,need_quantity,me can hai_muoi tivi,Mẹ cần hai mươi ti vi.,medium,synthetic_template_v4,train
2460,generated_mix,want_need_like,benh_nhan thich trai_cay,Bệnh nhân thích trái cây.,simple,synthetic_template_v4,train
2461,generated_mix,time_activity,buoi_sang ong dang di_cho,Buổi sáng ông đang đi chợ.,medium,synthetic_template_v4,train
2462,generated_mix,place,ong den van_phong,Ông đến văn phòng.,simple,synthetic_template_v4,train
2463,generated_health,time_symptom,thu_bay ba bi dau_hong,Thứ bảy bà bị đau họng.,medium,synthetic_template_v4,train
2464,daily_activity,future_activity,co se noi,Cô sẽ nói.,simple,synthetic_template_v4,train
2465,shopping,buy,me muon mua vo,Mẹ muốn mua vở.,simple,synthetic_template_v4,train
2466,time_activity,time_doing,thu_tu bo nghe,Thứ tư bố nghe.,medium,synthetic_template_v4,train
2467,description,object_adj,kinh_lup nong,Kính lúp nóng.,simple,synthetic_template_v4,train
2468,generated_mix,time_activity,hom_qua chung_toi dang xem,Hôm qua chúng tôi đang xem.,medium,synthetic_template_v4,train
2469,generated_health,time_symptom,mua_dong chung_toi bi chong_mat,Mùa đông chúng tôi bị chóng mặt.,medium,synthetic_template_v4,train
2470,complex_schedule,time_go_place,buoi_toi bo se di lop_hoc,Buổi tối bố sẽ đi lớp học.,complex,synthetic_template_v4,train
2471,shopping,buy,bo muon mua ao,Bố muốn mua áo.,simple,synthetic_template_v4,train
2472,generated_mix,time_activity,hom_nay ba dang lam_viec,Hôm nay bà đang làm việc.,medium,synthetic_template_v4,train
2473,time_activity,time_doing,toi_nay co xem,Tối nay cô xem.,medium,synthetic_template_v4,train
2474,location,want_go_place,co muon di cong_ty,Cô muốn đi công ty.,medium,synthetic_template_v4,train
2475,time_activity,time_doing,thu_hai toi di_hoc,Thứ hai tôi đi học.,medium,synthetic_template_v4,train
2476,generated_mix,time_activity,mua_he ban dang lam_viec,Mùa hè bạn đang làm việc.,medium,synthetic_template_v4,train
2477,generated_mix,time_activity,ngay ba dang choi,Ngày bà đang chơi.,medium,synthetic_template_v4,train
2478,generated_mix,time_activity,bay_gio thay_giao dang viet,Bây giờ thầy giáo đang viết.,medium,synthetic_template_v4,train
2479,food_drink,dislike_food,chi khong_thich chao,Chị không thích cháo.,medium,synthetic_template_v4,train
2480,complex_health,symptom_need,anh bi dau_hong nen can thuoc,Anh bị đau họng nên cần thuốc.,complex,synthetic_template_v4,train
2481,generated_mix,want_need_like,con_gai thich ao,Con gái thích áo.,simple,synthetic_template_v4,train
2482,shopping,buy,me muon mua thit,Mẹ muốn mua thịt.,simple,synthetic_template_v4,train
2483,weather,weather_feeling,chi cam_thay kho_rao,Chị cảm thấy khô ráo.,medium,synthetic_template_v4,train
2484,generated_command,polite,lam_on goi sach giup toi,Làm ơn gọi sách giúp tôi.,medium,synthetic_template_v4,train
2485,time_activity,time_doing,buoi_chieu bo di_hoc,Buổi chiều bố đi học.,medium,synthetic_template_v4,train
2486,generated_mix,want_need_like,co thich ghe,Cô thích ghế.,simple,synthetic_template_v4,train
2487,time_activity,time_doing,buoi_chieu thay_giao lam_bai_tap,Buổi chiều thầy giáo làm bài tập.,medium,synthetic_template_v4,train
2488,generated_health,time_symptom,hom_qua ban bi buon_non,Hôm qua bạn bị buồn nôn.,medium,synthetic_template_v4,train
2489,shopping,buy,em muon mua den,Em muốn mua đèn.,simple,synthetic_template_v4,train
2490,generated_mix,time_activity,thu_nam ong dang noi,Thứ năm ông đang nói.,medium,synthetic_template_v4,train
2491,description,object_color,ba_lo mau_nau,Ba lô màu nâu.,simple,synthetic_template_v4,train
2492,complex_schedule,time_go_place,hom_qua me se di nha_thuoc,Hôm qua mẹ sẽ đi nhà thuốc.,complex,synthetic_template_v4,train
2493,generated_question,question,thay_giao can keo khong,Thầy giáo có cần kẹo không?,medium,synthetic_template_v4,train
2494,generated_mix,time_activity,hom_qua chung_toi dang hoc_bai,Hôm qua chúng tôi đang học bài.,medium,synthetic_template_v4,train
2495,generated_mix,want_need_like,chi thich nghi_ngoi,Chị thích nghỉ ngơi.,simple,synthetic_template_v4,train
2496,complex_schedule,time_go_place,hom_nay ong se di benh_vien,Hôm nay ông sẽ đi bệnh viện.,complex,synthetic_template_v4,train
2497,generated_health,time_symptom,mua_he chung_toi bi ho,Mùa hè chúng tôi bị ho.,medium,synthetic_template_v4,train
2498,generated_mix,time_activity,mua_dong thay_giao dang nghe,Mùa đông thầy giáo đang nghe.,medium,synthetic_template_v4,train
2499,daily_activity,doing,ban dang hoc_bai,Bạn đang học bài.,simple,synthetic_template_v4,train
2500,daily_activity,doing,me dang nghi,Mẹ đang nghỉ.,simple,synthetic_template_v4,train
2501,quantity,want_quantity,ban muon ba banh_mi,Bạn muốn ba bánh mì.,medium,synthetic_template_v4,train
2502,location,go_to_place,me di ben_xe,Mẹ đi bến xe.,simple,synthetic_template_v4,train
2503,generated_health,time_symptom,buoi_sang co_giao bi cam_lanh,Buổi sáng cô giáo bị cảm lạnh.,medium,synthetic_template_v4,train
2504,daily_activity,doing,ong dang nghi,Ông đang nghỉ.,simple,synthetic_template_v4,train
2505,generated_health,time_symptom,ngay_mai con_trai bi dau_dau,Ngày mai con trai bị đau đầu.,medium,synthetic_template_v4,train
2506,generated_mix,time_activity,thang co_giao dang nau_an,Tháng cô giáo đang nấu ăn.,medium,synthetic_template_v4,train
2507,quantity,need_quantity,me can mot_tram banh_mi,Mẹ cần một trăm bánh mì.,medium,synthetic_template_v4,train
2508,generated_mix,time_activity,ngay_mai anh dang tam,Ngày mai anh đang tắm.,medium,synthetic_template_v4,train
2509,object_action,find_object,chi tim cua,Chị tìm cửa.,simple,synthetic_template_v4,train
2510,quantity,want_quantity,ong muon nam sua,Ông muốn năm sữa.,medium,synthetic_template_v4,train
2511,daily_activity,doing,thay_giao dang viet,Thầy giáo đang viết.,simple,synthetic_template_v4,train
2512,generated_mix,time_activity,nam bo dang choi,Năm bố đang chơi.,medium,synthetic_template_v4,train
2513,generated_mix,time_activity,mua_dong con_gai dang nau_an,Mùa đông con gái đang nấu ăn.,medium,synthetic_template_v4,train
2514,generated_mix,time_activity,nam chung_toi dang nghi,Năm chúng tôi đang nghỉ.,medium,synthetic_template_v4,train
2515,generated_health,time_symptom,buoi_trua co_giao bi bi_thuong,Buổi trưa cô giáo bị bị thương.,medium,synthetic_template_v4,train
2516,quantity,need_quantity,ong can chin chao,Ông cần chín cháo.,medium,synthetic_template_v4,train
2517,generated_mix,time_activity,hom_nay bo dang lam_bai_tap,Hôm nay bố đang làm bài tập.,medium,synthetic_template_v4,train
2518,description,object_adj,cua yen_tinh,Cửa yên tĩnh.,simple,synthetic_template_v4,train
2519,time_activity,time_doing,thu_sau bo nghe,Thứ sáu bố nghe.,medium,synthetic_template_v4,train
2520,time_activity,time_doing,thu_bay toi ngu,Thứ bảy tôi ngủ.,medium,synthetic_template_v4,train
2521,generated_mix,want_need_like,benh_nhan thich quan,Bệnh nhân thích quần.,simple,synthetic_template_v4,train
2522,generated_mix,time_activity,chu_nhat ba dang di_hoc,Chủ nhật bà đang đi học.,medium,synthetic_template_v4,train
2523,time_activity,time_doing,mua_he toi hoc_bai,Mùa hè tôi học bài.,medium,synthetic_template_v4,train
2524,quantity,want_quantity,chi muon hai banh_mi,Chị muốn hai bánh mì.,medium,synthetic_template_v4,train
2525,generated_mix,time_activity,buoi_toi anh dang giat_do,Buổi tối anh đang giặt đồ.,medium,synthetic_template_v4,train
2526,object_action,lost_object,ban mat may_tinh,Bạn mất máy tính.,medium,synthetic_template_v4,train
2527,time_activity,time_doing,toi_nay me lam_bai_tap,Tối nay mẹ làm bài tập.,medium,synthetic_template_v4,train
2528,generated_health,time_symptom,nam toi bi dau_hong,Năm tôi bị đau họng.,medium,synthetic_template_v4,train
2529,generated_mix,time_activity,mua_he ong dang chay,Mùa hè ông đang chạy.,medium,synthetic_template_v4,train
2530,generated_health,time_symptom,mua_dong nguoi_khiem_thinh bi dau_bung,Mùa đông người khiếm thính bị đau bụng.,medium,synthetic_template_v4,train
2531,generated_mix,want_need_like,ban thich dong_ho,Bạn thích đồng hồ.,simple,synthetic_template_v4,train
2532,generated_mix,time_activity,ngay_mai ba dang an,Ngày mai bà đang ăn.,medium,synthetic_template_v4,train
2533,need,want,anh muon xe_cuu_thuong,Anh muốn xe cứu thương.,simple,synthetic_template_v4,train
2534,complex_schedule,time_go_place,buoi_chieu toi se di nha_thuoc,Buổi chiều tôi sẽ đi nhà thuốc.,complex,synthetic_template_v4,train
2535,generated_health,time_symptom,thang ong bi dau_tay,Tháng ông bị đau tay.,medium,synthetic_template_v4,train
2536,quantity,want_quantity,ong muon tam chao,Ông muốn tám cháo.,medium,synthetic_template_v4,train
2537,generated_mix,place,chung_toi di ghe,Chúng tôi đi ghế.,simple,synthetic_template_v4,train
2538,command,polite_give,vui_long dua xe_cuu_thuong cho toi,Vui lòng đưa xe cứu thương cho tôi.,medium,synthetic_template_v4,train
2539,generated_health,time_symptom,thu_hai con_gai bi dau,Thứ hai con gái bị đau.,medium,synthetic_template_v4,train
2540,family,person_emotion,gia_dinh cam_thay met,Gia đình cảm thấy mệt.,simple,synthetic_template_v4,train
2541,complex_health,symptom_need,chi bi dau_lung nen can goi_y_ta,Chị bị đau lưng nên cần gọi y tá.,complex,synthetic_template_v4,train
2542,health,feel_symptom,ban cam_thay dau_hong,Bạn cảm thấy đau họng.,simple,synthetic_template_v4,train
2543,shopping,buy,me muon mua noi_com_dien,Mẹ muốn mua nồi cơm điện.,simple,synthetic_template_v4,train
2544,complex_schedule,time_go_place,thu_hai bo se di nha,Thứ hai bố sẽ đi nhà.,complex,synthetic_template_v4,train
2545,quantity,want_quantity,ban muon ba_muoi den,Bạn muốn ba mươi đèn.,medium,synthetic_template_v4,train
2546,generated_mix,time_activity,ngay_mai con_gai dang xem,Ngày mai con gái đang xem.,medium,synthetic_template_v4,train
2547,generated_health,time_symptom,thu_sau anh bi dau_bung,Thứ sáu anh bị đau bụng.,medium,synthetic_template_v4,train
2548,quantity,want_quantity,chi muon ba_muoi nuoc,Chị muốn ba mươi nước.,medium,synthetic_template_v4,train
2549,generated_mix,time_activity,toi_nay ban dang ngu,Tối nay bạn đang ngủ.,medium,synthetic_template_v4,train
2550,generated_mix,time_activity,buoi_chieu bo dang mua_sam,Buổi chiều bố đang mua sắm.,medium,synthetic_template_v4,train
2551,complex_need,want_food_place,me muon pho o benh_vien,Mẹ muốn phở ở bệnh viện.,complex,synthetic_template_v4,train
2552,location,go_to_place,ba di nha_thuoc,Bà đi nhà thuốc.,simple,synthetic_template_v4,train
2553,location,want_go_place,co muon di benh_vien,Cô muốn đi bệnh viện.,medium,synthetic_template_v4,train
2554,generated_health,time_symptom,bay_gio chung_toi bi bi_thuong,Bây giờ chúng tôi bị bị thương.,medium,synthetic_template_v4,train
2555,time_activity,time_doing,toi_nay bo xem,Tối nay bố xem.,medium,synthetic_template_v4,train
2556,generated_health,time_symptom,thu_tu chung_toi bi chong_mat,Thứ tư chúng tôi bị chóng mặt.,medium,synthetic_template_v4,train
2557,location,at_place,em o nha_ga,Em ở nhà ga.,simple,synthetic_template_v4,train
2558,generated_mix,time_activity,chu_nhat co dang hoc_bai,Chủ nhật cô đang học bài.,medium,synthetic_template_v4,train
2559,generated_mix,time_activity,buoi_sang thay_giao dang di_bo,Buổi sáng thầy giáo đang đi bộ.,medium,synthetic_template_v4,train
2560,generated_mix,time_activity,thang co dang rua_tay,Tháng cô đang rửa tay.,medium,synthetic_template_v4,train
2561,generated_mix,time_activity,mua_dong chi dang doc_sach,Mùa đông chị đang đọc sách.,medium,synthetic_template_v4,train
2562,generated_health,time_symptom,thang em bi buon_non,Tháng em bị buồn nôn.,medium,synthetic_template_v4,train
2563,generated_health,time_symptom,hom_nay nguoi_khiem_thinh bi di_ung,Hôm nay người khiếm thính bị dị ứng.,medium,synthetic_template_v4,train
2564,generated_mix,time_activity,thu_nam co dang lam_viec,Thứ năm cô đang làm việc.,medium,synthetic_template_v4,train
2565,generated_mix,time_activity,hom_nay thay_giao dang viet,Hôm nay thầy giáo đang viết.,medium,synthetic_template_v4,train
2566,time_activity,time_doing,mua_dong me lam_viec,Mùa đông mẹ làm việc.,medium,synthetic_template_v4,train
2567,health,physical_state,anh cam_thay nong,Anh cảm thấy nóng.,simple,synthetic_template_v4,train
2568,generated_health,time_symptom,thu_ba nguoi_khiem_thinh bi dau_lung,Thứ ba người khiếm thính bị đau lưng.,medium,synthetic_template_v4,train
2569,food_drink,need_food,co can banh,Cô cần bánh.,simple,synthetic_template_v4,train
2570,location,go_to_place,co_giao di lop_hoc,Cô giáo đi lớp học.,simple,synthetic_template_v4,train
2571,generated_mix,time_activity,thu_bay thay_giao dang an,Thứ bảy thầy giáo đang ăn.,medium,synthetic_template_v4,train
2572,generated_mix,time_activity,thang em dang di_cho,Tháng em đang đi chợ.,medium,synthetic_template_v4,train
2573,quantity,need_quantity,em can ba banh_mi,Em cần ba bánh mì.,medium,synthetic_template_v4,train
2574,generated_mix,place,ban den nha,Bạn đến nhà.,simple,synthetic_template_v4,train
2575,generated_mix,time_activity,thu_nam em dang mua_sam,Thứ năm em đang mua sắm.,medium,synthetic_template_v4,train
2576,generated_mix,time_activity,buoi_toi em dang tam,Buổi tối em đang tắm.,medium,synthetic_template_v4,train
2577,generated_mix,time_activity,ngay anh dang di_bo,Ngày anh đang đi bộ.,medium,synthetic_template_v4,train
2578,generated_mix,want_need_like,toi thich noi_com_dien,Tôi thích nồi cơm điện.,simple,synthetic_template_v4,train
2579,daily_activity,doing,thay_giao dang choi,Thầy giáo đang chơi.,simple,synthetic_template_v4,train
2580,generated_mix,time_activity,thu_tu con_trai dang viet,Thứ tư con trai đang viết.,medium,synthetic_template_v4,train
2581,generated_health,time_symptom,thu_ba ong bi kho_tho,Thứ ba ông bị khó thở.,medium,synthetic_template_v4,train
2582,generated_mix,time_activity,thu_hai benh_nhan dang ngu,Thứ hai bệnh nhân đang ngủ.,medium,synthetic_template_v4,train
2583,generated_mix,time_activity,nam co dang viet,Năm cô đang viết.,medium,synthetic_template_v4,train
2584,generated_question,question,co_giao can dong_ho khong,Cô giáo có cần đồng hồ không?,medium,synthetic_template_v4,train
2585,generated_mix,time_activity,chu_nhat ban dang di_bo,Chủ nhật bạn đang đi bộ.,medium,synthetic_template_v4,train
2586,time_activity,time_doing,thu_nam toi noi,Thứ năm tôi nói.,medium,synthetic_template_v4,train
2587,generated_mix,want_need_like,nguoi_khiem_thinh can kinh_lup,Người khiếm thính cần kính lúp.,simple,synthetic_template_v4,train
2588,generated_mix,time_activity,buoi_toi con_gai dang lam_viec,Buổi tối con gái đang làm việc.,medium,synthetic_template_v4,train
2589,time_activity,time_doing,nam anh hoc_bai,Năm anh học bài.,medium,synthetic_template_v4,train
2590,generated_health,time_symptom,thu_ba toi bi sot,Thứ ba tôi bị sốt.,medium,synthetic_template_v4,train
2591,need,want,me muon di_nha_ve_sinh,Mẹ muốn đi nhà vệ sinh.,simple,synthetic_template_v4,train
2592,generated_mix,want_need_like,co_giao can bun,Cô giáo cần bún.,simple,synthetic_template_v4,train
2593,time_activity,time_doing,buoi_trua ba xem,Buổi trưa bà xem.,medium,synthetic_template_v4,train
2594,time_activity,time_doing,thu_ba me nghe,Thứ ba mẹ nghe.,medium,synthetic_template_v4,train
2595,generated_question,question,nguoi_khiem_thinh can ba_lo khong,Người khiếm thính có cần ba lô không?,medium,synthetic_template_v4,train
2596,generated_mix,place,chung_toi den nha,Chúng tôi đến nhà.,simple,synthetic_template_v4,train
2597,time_activity,time_doing,thang toi doc_sach,Tháng tôi đọc sách.,medium,synthetic_template_v4,train
2598,family,person_activity,con_gai dang lam_bai_tap,Con gái đang làm bài tập.,simple,synthetic_template_v4,train
2599,generated_health,time_symptom,toi_nay chung_toi bi di_ung,Tối nay chúng tôi bị dị ứng.,medium,synthetic_template_v4,train
2600,time_activity,time_doing,thu_nam me hoc_bai,Thứ năm mẹ học bài.,medium,synthetic_template_v4,train
2601,generated_mix,time_activity,thu_hai con_trai dang di_bo,Thứ hai con trai đang đi bộ.,medium,synthetic_template_v4,train
2602,need,want,toi muon nguoi_phien_dich,Tôi muốn người phiên dịch.,simple,synthetic_template_v4,train
2603,time_activity,time_doing,mua_dong toi viet,Mùa đông tôi viết.,medium,synthetic_template_v4,train
2604,time_activity,time_doing,thu_ba em lam_bai_tap,Thứ ba em làm bài tập.,medium,synthetic_template_v4,train
2605,generated_mix,want_need_like,chung_toi thich giup_do,Chúng tôi thích giúp đỡ.,simple,synthetic_template_v4,train
2606,generated_mix,time_activity,thu_bay bo dang xem,Thứ bảy bố đang xem.,medium,synthetic_template_v4,train
2607,description,object_adj,dien_thoai nong,Điện thoại nóng.,simple,synthetic_template_v4,train
